SYMBOL,27-Nov-20,30-Oct-20,30-Sep-20,31-Aug-20,31-Jul-20,30-Jun-20,29-May-20,30-Apr-20,31-Mar-20,28-Feb-20,31-Jan-20
BALKRISHNA,4908.8,12.35,13.15,2678.8,42.9,134.05,14.9,40.15,53.55,102.15,46.6
BALKRISIND,59.75,1347.55,1477,3487.8,125.5,46.3,38.95,99.15,194.57,39.05,166.2
BALLARPUR,1001.95,1.15,1.25,80.85,41,1021.8,193.68,30.5,32.25,142.8,37.15
BALMLAWRIE,638.25,101.1,99.5,791.6,1276,73.25,31.45,887.55,72.85,31.05,1462
BALPHARMA,17.35,57.7,43.05,441.85,79,319.3,71.25,69.8,0.65,1292.25,102.7
BALRAMCHIN,1659.4,160.4,155.2,14.45,345.1,19.55,1.5,262.35,1125.25,85.8,450.35
BANARBEADS,1.15,56.95,52,1321.9,15.8,65,1086.75,16.15,69.4,383.5,20.8
BANARISUG,109.05,1300.05,1300,1.6,89.8,48.6,76.9,49.2,1231.1,17.85,92.7
BANCOINDIA,55.75,90,89.85,115.55,46.8,215.41,1325.6,215.33,3455.95,76.3,316.9
BANDHANBNK,164.6,289.45,273,42.3,217.89,48.8,5374.95,35.2,569.55,296.72,67.8
BANG,52.95,19.15,17.7,147.45,47.05,77.45,649.45,71.55,732.5,51.05,119.5
BANKA,1346.05,36.45,33.75,50.15,61.15,3.15,908.1,1.15,3.1,121.95,1.25
BANKBARODA,128.7,41.7,41.05,1300.45,2.1,1137.8,6.9,1054.05,10.85,1,989.4
BANKBEES,367,240.65,215.94,90.25,1332.85,104.5,15.5,81.95,185.15,1026.85,134
BANKINDIA,20,38.6,40.65,305.8,79.85,1306.2,5.75,1365.15,6.8,102,1801.85
BANSWRAS,41,73.05,70.15,18.05,1268.05,5937,235,4300.3,13.15,1650.65,4130.1
BARTRONICS,51.35,1.7,1.8,91.8,5553.3,776.7,9.05,710.35,74.45,4382.05,882.05
BASF,297.06,1362.8,1511.55,48.95,746.3,1051.65,12,904.1,451.65,762.15,1132.25
BASML,45.05,85.45,89,239.57,1258.75,9,69.2,5.1,28.85,1069.45,5.4
BATAINDIA,81.7,1312,1318.35,54.35,6.05,5.25,581.05,11.95,497.95,4.55,26.25
BAYERCROP,1.6,5448.4,5891.2,72.95,4.25,333.25,36.45,216.3,40,25.35,21.1
